rxn,temp,Output
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(C1=CC=CC=C1)N[C@@H](C2=CC=CC=C2)C,0.8097306648443396,0.346452165721493
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(C1=CC=CC=C1)N[C@@H](C2=CC=C(C=C2)C)C,0.8097306648443396,0.310759854077367
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(C1=CC=CC=C1)N[C@@H](C2=CC=CC=C2)CC,0.8097306648443396,0.650001933668572
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(C1=CC=CC=C1)N[C@@H](C2=CC=C(C)C=C2)CC,0.8097306648443396,0.87160277910567
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(C1=C(C=CC=C1)OC)N[C@@H](C2=CC=CC=C2)C,0.8097306648443396,0.534998196902155
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(C1=C(C=CC=C1)OC)N[C@@H](C2=CC=C(C=C2)C)C,0.8097306648443396,0.482852502545752
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*C[C@@H](NC(C1=CC=CC=C1)=O)C2=CC=C(C=C2)C(F)(F)F,0.8097306648443396,0.418928551024018
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*C[C@@H](NC(C1=CC=CC=C1)=O)C2=CN=C(C=C2)OC,0.8097306648443396,0.300788645518138
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*FC(F)(F)C(C=C1)=CC=C1[C@H](NC(C2=CC=CC=C2)=O)CC,0.8097306648443396,0.771318383206464
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*COC(C=C1)=NC=C1[C@H](NC(C2=CC=CC=C2)=O)CC,0.8097306648443396,0.324009663389114
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=S([C@H](CCCC)CCCCCCN1C2=C(C=C1)C=CC=C2)(C)=O,0.8097306648443396,-0.106475590851835
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(N(CC1=CC=CC=C1)C2=CC=CC=C2)[C@H](CC)CCCCCC,-0.6177644706061631,0.165461196203332
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C([C@H](/C=C/C1=CC=CC=C1)CC)C2=CC=CC=C2,-0.14193275878932887,-0.0233935236915215
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*FC(F)(F)[C@@H](C1=CC=CC=C1)CCC2=CC=CC=C2,-1.5694278942398316,0.145789410800601
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=S([C@H](CCCC)C1=CC=CC=C1)(C)=O,-1.5694278942398316,0.445846151602923
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*N#C[C@@H](C1CCCCC1)C2=CC=CC=C2,-1.8073437501482488,0.27735595942908
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*C[C@H](C1=CC=C(C=C1)C(OCC)=O)NC(C2=CC=CC=C2)=O,0.8097306648443396,0.462994566743146
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(C1=CC=CC=C1)N[C@@H](C2=CC=C(C=C2)C(OCC)=O)CC,0.8097306648443396,0.244495860349982
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*CC[C@H](C1=CC=CC=C1)C2=CC=C(C=C2)OC,0.8097306648443396,-0.177151648274882
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*CC[C@H](C1=CC=CC=C1)C2=CC=C(C=C2)OC,0.8097306648443396,-0.0449326718131282
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(NC1=CC=CC=C1)[C@@H](CC)CCC2CCCCC2,-0.8556803265145803,-0.0267671511801884
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(NC1=CC=CC=C1)[C@@H](CC)CCCCCC,-0.8556803265145803,-0.354811690406133
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*CC[C@@H](C1=CC=CC=C1)C2=CC(OC)=NC=C2,0.8097306648443396,-0.183974163218378
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*CC[C@@H](C1=CC=C(OC)C=C1)C2=CC(OC)=NC=C2,0.8097306648443396,0.169350334814802
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(C1=CC=CC=C1)N[C@H](C2CCN(S(C3=CC=C(C=C3)C)(=O)=O)CC2)CC,0.8097306648443396,-0.276291082845558
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(C1=CC=CC=C1)N[C@H](CC)CCCC2=CC=CC=C2,0.8097306648443396,0.0137057795865987
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(N[C@@H](CCCCC)CC1=CC=CC=C1)OCC2=CC=CC=C2,0.8097306648443396,0.269344082426254
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(OCC1=CC=CC=C1)N[C@@H](CC)CC2=CC=C(C=C2)C(F)(F)F,0.8097306648443396,-0.193469603101865
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(C1=CC=CC=C1)N[C@H](C2CCN(S(C3=CC=C(C=C3)C)(=O)=O)CC2)C,0.8097306648443396,0.0229544278863785
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(C1=CC=CC=C1)N[C@@H](C)CCCC2=CC=CC=C2,0.8097306648443396,-0.0846623771450547
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*C[C@H](NC(C1=CC=CC=C1)=O)CCCC,0.8097306648443396,-0.0175173930888286
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*C[C@@H](OC(C1=CC=CC=C1)=O)CCCN2C(C3=C(C2=O)C=CC=C3)=O,0.8097306648443396,0.167946793543006
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C1N(CCC1)[C@@H](CCCCC)CCCOC2=CC3=C(C=C2)C=CC=C3,0.8097306648443396,-0.138249399054987
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*CC1(C)OB([C@H](CCCCC)CCCN2C3=C(C4=C2C=CC=C4)C=CC=C3)OC1(C)C,0.8097306648443396,-0.0823875669501165
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C1[C@@](CC)(CCN1C2=CC=CC=C2)/C=C/CCCC3=CC=CC=C3,0.8097306648443396,-1.1782190607605
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(NC1=CC=CC=C1)[C@@H](C)CCCCC2=CC=CC=C2,-1.0935961824229974,0.218067810825922
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(NC1=CC=CC=C1)[C@@H](C)CCC2=CC=C(C=C2)C(F)(F)F,-1.0935961824229974,-0.0573690948374544
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(NC1=CC=C(C=C1)C(OCC)=O)[C@H](C)CCC2=CC=CC=C2,-1.0935961824229974,-0.616809602745176
CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(CCC1)N1[C@H](C)CCCN2C3=C(C4=C2C=CC=C4)C=CC=C3,-0.6177644706061631,0.203913845769347
